Timestep,Entropy_Change,Converged_Particles,Symbol_Entropy,Avg_Speed
0,23.279999999999998,10,1,0.07971707005644145
1,22.5816,10,1,0.15862088241013664
2,21.91332432,10,1,0.15797706372936804
3,21.26523659040001,11,1,0.15791400604577202
4,20.627279492688004,11,1,0.157790849624778
5,20.043548405530085,11,1,0.15760904576200052
6,19.646167978185293,11,1,0.15754476829919736
7,19.64018370199241,11,1,0.15718328193113285
8,20.025985560207488,11,1,0.1566212712522348
9,20.243873066731105,11,1,0.155995000937238
10,20.227461144802565,11,1,0.1556164486373077
11,20.139780315492924,11,1,0.15530845975678725
12,20.633800242988137,11,1,0.15501806569651316
13,21.022617810966043,11,1,0.1548975444773091
14,21.416124783646495,11,1,0.1548200149658816
15,21.900530734447187,11,1,0.15464473814449414
16,22.223527534609158,11,1,0.1545363625834042
17,22.604152832338993,11,1,0.15441577406257456
18,22.696904648619583,11,1,0.15429517702421675
19,23.040169031336276,11,2,0.1541745743048382
20,23.658718410893062,11,1,0.15400113546648814
21,23.973355299523355,11,1,0.15394296216745934
22,24.11724226042127,11,1,0.15384355242877198
23,24.277150750739626,11,1,0.15371376548735918
24,24.51034790377301,11,1,0.1535720282082298
25,25.31071545064693,11,1,0.15346506357269762
26,25.807641318130468,11,1,0.15286060678957125
27,26.08885007009747,11,1,0.15200138829012283
28,26.458483124216567,11,1,0.15159442498478187
29,26.545311262790594,11,1,0.15114261905598553
30,26.7726582663227,11,1,0.15082631379166356
31,26.64242763275209,11,1,0.15070829002453523
32,26.91378585336273,11,1,0.15059058039690332
33,27.422945910111533,11,1,0.1504726138099808
34,27.43242845751962,11,1,0.15035496648712243
35,27.569349745037066,11,1,0.1502370673138735
36,28.067566614499903,11,1,0.15011949250433498
37,28.419991531845618,11,1,0.15000167092807243
38,28.852857617436392,11,1,0.14988417878965343
39,28.929429016617494,11,1,0.1497716834419587
40,29.79052519471882,11,1,0.14969962741853626
41,29.696502023128208,11,1,0.1494680502596738
42,30.12821252503118,11,1,0.14972644152529724
43,30.253256417516866,12,1,0.14959071360416934
44,30.660939354554092,12,1,0.14942831735257733
45,30.445900649221592,12,1,0.1492847840018635
46,30.568012536632278,12,1,0.14917514352144445
47,30.732803453137656,12,1,0.14916546956573398
48,30.709953688635927,12,1,0.14904827742057272
49,30.700325565473396,12,1,0.14893087663840496
50,31.145231002439402,12,1,0.14881384337429052
51,31.50394800960954,13,1,0.14859178601033057
52,31.355927536217166,13,1,0.14846269176503848
53,31.734130136488645,13,1,0.14834659165985356
54,32.00796461825695,13,1,0.14827732138322666
55,32.19850517060903,13,1,0.14829748237745285
56,32.23133092518703,13,1,0.14804547657929218
57,32.08489197299927,13,1,0.1478835636514014
58,32.34284371048629,13,1,0.14776819824809062
59,32.374250204444,13,1,0.14765264278246262
60,32.645092528059706,13,1,0.14754445395621593
61,33.13861861574192,14,1,0.14730681344242977
62,33.175033530513865,14,1,0.14736398163436373
63,32.921684225725606,14,1,0.14723540943117328
64,33.138031790675505,14,1,0.14712013253252387
65,33.443766937139166,14,1,0.14701332169705814
66,33.67195004710698,14,1,0.1467356359977187
67,33.6096096514368,14,1,0.14659241208709617
68,33.73426066969649,14,1,0.1465228859437022
69,33.84409316127872,14,1,0.14654432496839276
70,34.067441720051626,14,1,0.14626320132919496
71,33.99359059604668,14,1,0.14609183817651045
72,34.076770145180625,14,1,0.14579868692916026
73,34.47766521811437,14,1,0.14568182416536674
74,34.40275491482388,14,1,0.14559073910704295
75,34.308809193803256,14,1,0.1454741248153259
76,34.37981205544907,14,1,0.14533328772237347
77,34.216802574331666,14,1,0.1452169912330738
78,34.5622158754827,14,1,0.14486691946770366
79,34.60970326300728,14,1,0.14454244544946562
80,34.70415493480726,14,1,0.14441159748669954
81,34.84311185321298,14,1,0.14426897552610088
82,35.25293393127096,14,1,0.1444142353905404
83,35.24211582080098,15,1,0.1441197298446051
84,35.26636414497847,15,1,0.14415012214234169
85,35.06518080673992,15,1,0.14385679036830587
86,35.01590410584274,15,1,0.14365959933280228
87,35.388811165472006,15,1,0.14363353843926174
88,35.17164463016772,15,1,0.1435959043662203
89,34.97791069308513,15,1,0.14356020304563819
90,35.10709085201103,15,1,0.1434199531863112
91,35.30586526056424,16,1,0.14325368012588918
92,35.022336515368025,16,1,0.14296963059807127
93,35.01186418664383,16,1,0.14282726613071714
94,35.21374828916121,16,1,0.14284728991260728
95,35.22593686786399,17,1,0.14352220151156916
96,35.47004855283869,17,1,0.14341693507163494
97,35.67745328748352,17,1,0.14339748246671433
98,35.43178547866949,17,1,0.14310417609164605
99,35.37145170752545,17,1,0.14221481138496803
100,35.2953077354337,17,1,0.14218100847690818
101,35.245376742925515,17,1,0.14207719607179897
102,35.724720905823624,17,1,0.1419657458476161
103,35.52827566239425,17,1,0.14185291937740852
104,35.2625914069057,17,1,0.14174183989764597
105,35.42891322497463,17,1,0.14164887146491437
106,35.320949961527546,17,1,0.14123803585168
107,35.4569956297784,17,1,0.14043603556677975
108,35.15691991572429,17,1,0.1400312730323897
109,35.407092641328084,17,1,0.1399294487708491
110,35.48889186569046,19,1,0.13983004586790715
111,35.90515654788406,19,1,0.13936026545319494
112,35.80357892202357,19,1,0.13929058807159228
113,35.60480752256605,19,1,0.13903504679858966
114,35.374082078376404,19,1,0.1388767551660049
115,35.598383753160924,19,1,0.13876526092971814
116,35.48408615895737,20,1,0.13865514811105292
117,35.11980055994724,20,1,0.13842633071761434
118,35.17093264793238,20,1,0.1380114172546329
119,35.72064913620463,20,1,0.13776479744306777
120,35.40394485489175,20,1,0.13757613137348548
121,35.4330055278921,20,1,0.13753650180310825
122,35.800211788632076,20,1,0.13726911819954318
123,35.740715174085224,20,1,0.13715348585131856
124,35.7660671560626,20,1,0.13723034696037592
125,35.53978985506439,20,1,0.13717806012951642
126,35.107560921521625,20,1,0.13719641377739666
127,35.17473036488066,20,1,0.1372136796718161
128,35.77261625170305,20,1,0.13683264889961771
129,36.000914253991425,20,1,0.13661205273018542
130,35.61659039277711,20,1,0.13635527011039836
131,35.4622056385532,20,1,0.13621501343268677
132,35.03092932507174,20,1,0.13618819742514635
133,35.143056932793826,20,1,0.13608152699361967
134,35.17191034468622,20,1,0.13597576309923695
135,35.70568653820135,20,2,0.1357849791184666
136,35.82756823738564,20,2,0.1369259062407251
137,35.800391442935826,20,2,0.13830492538904443
138,35.91168139443728,20,2,0.13820235139746206
139,36.219105069759046,20,2,0.13809437327269333
140,36.089668957696375,21,2,0.1376947109577493
141,35.98270055667288,21,2,0.13755106666232425
142,36.04705160569709,21,2,0.13752944949495757
143,35.96801168969305,21,1,0.13738620726963297
144,36.00208898920199,21,2,0.13594848935490575
145,36.28749058750388,21,2,0.13583823183816351
146,35.83163926447235,22,2,0.1369633115172765
147,35.967592224966744,22,2,0.13685169657389734
148,36.182555877374625,22,1,0.13675347366680735
149,36.27131563198921,22,2,0.1352283270170109
